alertid,date,time,sessionduration,spoofed,category,address,sport,Address category,Address address,dport,Service name,impact,version,Alert version,ident,name
108,03/07/2000,10:33:10,00:00:00,unknown,ipv4-addr,202.77.162.213,60249,ipv4-addr,172.16.115.20,111,udp,unknown,0.1,1,tcpdump_inside,tcpdump_inside
109,03/07/2000,10:33:10,00:00:00,unknown,ipv4-addr,202.77.162.213,60251,ipv4-addr,172.16.115.20,32773,udp,unknown,0.1,1,tcpdump_inside,tcpdump_inside
110,03/07/2000,10:33:12,00:00:00,unknown,ipv4-addr,202.77.162.213,60253,ipv4-addr,172.16.115.20,111,udp,unknown,0.1,1,tcpdump_inside,tcpdump_inside
111,03/07/2000,10:33:12,00:00:00,unknown,ipv4-addr,202.77.162.213,60255,ipv4-addr,172.16.115.20,32773,udp,unknown,0.1,1,tcpdump_inside,tcpdump_inside
112,03/07/2000,10:33:14,00:00:08,unknown,ipv4-addr,202.77.162.213,46956,ipv4-addr,172.16.115.20,23,tcp,unknown,0.1,1,tcpdump_inside,tcpdump_inside
113,03/07/2000,10:33:18,00:00:00,unknown,ipv4-addr,202.77.162.213,60267,ipv4-addr,172.16.115.20,111,udp,unknown,0.1,1,tcpdump_inside,tcpdump_inside
114,03/07/2000,10:33:18,00:00:00,unknown,ipv4-addr,202.77.162.213,60269,ipv4-addr,172.16.115.20,32773,udp,unknown,0.1,1,tcpdump_inside,tcpdump_inside
115,03/07/2000,10:33:20,00:00:00,unknown,ipv4-addr,202.77.162.213,60274,ipv4-addr,172.16.115.20,111,udp,unknown,0.1,1,tcpdump_inside,tcpdump_inside
116,03/07/2000,10:33:20,00:00:00,unknown,ipv4-addr,202.77.162.213,60276,ipv4-addr,172.16.115.20,32773,udp,unknown,0.1,1,tcpdump_inside,tcpdump_inside
117,03/07/2000,10:33:22,00:00:09,unknown,ipv4-addr,202.77.162.213,46958,ipv4-addr,172.16.115.20,23,tcp,unknown,0.1,1,tcpdump_inside,tcpdump_inside
118,03/07/2000,10:33:27,00:00:00,unknown,ipv4-addr,202.77.162.213,60287,ipv4-addr,172.16.115.20,111,udp,unknown,0.1,1,tcpdump_inside,tcpdump_inside
119,03/07/2000,10:33:27,00:00:00,unknown,ipv4-addr,202.77.162.213,60289,ipv4-addr,172.16.115.20,32773,udp,unknown,0.1,1,tcpdump_inside,tcpdump_inside
120,03/07/2000,10:33:29,00:00:00,unknown,ipv4-addr,202.77.162.213,60298,ipv4-addr,172.16.115.20,111,udp,unknown,0.1,1,tcpdump_inside,tcpdump_inside
121,03/07/2000,10:33:29,00:00:00,unknown,ipv4-addr,202.77.162.213,60300,ipv4-addr,172.16.115.20,32773,udp,unknown,0.1,1,tcpdump_inside,tcpdump_inside
122,03/07/2000,10:33:31,00:00:01,unknown,ipv4-addr,202.77.162.213,46959,ipv4-addr,172.16.115.20,23,tcp,unknown,0.1,1,tcpdump_inside,tcpdump_inside
123,03/07/2000,10:34:36,00:00:00,unknown,ipv4-addr,202.77.162.213,60517,ipv4-addr,172.16.112.10,111,udp,unknown,0.1,1,tcpdump_inside,tcpdump_inside
124,03/07/2000,10:34:36,00:00:00,unknown,ipv4-addr,202.77.162.213,60519,ipv4-addr,172.16.112.10,32774,udp,unknown,0.1,1,tcpdump_inside,tcpdump_inside
