alertid,date,time,sessionduration,spoofed,category,address,sport,Address category,Address address,dport,Service name,impact,version,Alert version,ident,name
1,03/07/2000,10:07:07,00:00:55,unknown,ipv4-addr,202.77.162.213,645,ipv4-addr,172.16.115.1,111,udp,unknown,0.1,1,tcpdump_dmz,tcpdump_dmz
2,03/07/2000,10:08:07,00:00:00,unknown,ipv4-addr,202.77.162.213,646,ipv4-addr,172.16.115.20,111,udp,unknown,0.1,1,tcpdump_dmz,tcpdump_dmz
3,03/07/2000,10:08:07,00:00:00,unknown,ipv4-addr,202.77.162.213,647,ipv4-addr,172.16.115.20,54791,udp,unknown,0.1,1,tcpdump_dmz,tcpdump_dmz
4,03/07/2000,10:08:07,00:00:55,unknown,ipv4-addr,202.77.162.213,647,ipv4-addr,172.16.115.87,111,udp,unknown,0.1,1,tcpdump_dmz,tcpdump_dmz
5,03/07/2000,10:10:07,00:00:55,unknown,ipv4-addr,202.77.162.213,649,ipv4-addr,172.16.114.2,111,udp,unknown,0.1,1,tcpdump_dmz,tcpdump_dmz
6,03/07/2000,10:11:07,00:00:00,unknown,ipv4-addr,202.77.162.213,650,ipv4-addr,172.16.114.10,111,udp,unknown,0.1,1,tcpdump_dmz,tcpdump_dmz
7,03/07/2000,10:11:07,00:00:00,unknown,ipv4-addr,202.77.162.213,651,ipv4-addr,172.16.114.10,32779,udp,unknown,0.1,1,tcpdump_dmz,tcpdump_dmz
8,03/07/2000,10:11:08,00:00:00,unknown,ipv4-addr,202.77.162.213,651,ipv4-addr,172.16.114.20,111,udp,unknown,0.1,1,tcpdump_dmz,tcpdump_dmz
9,03/07/2000,10:11:08,00:00:00,unknown,ipv4-addr,202.77.162.213,652,ipv4-addr,172.16.114.20,32773,udp,unknown,0.1,1,tcpdump_dmz,tcpdump_dmz
10,03/07/2000,10:11:08,00:00:00,unknown,ipv4-addr,202.77.162.213,652,ipv4-addr,172.16.114.30,111,udp,unknown,0.1,1,tcpdump_dmz,tcpdump_dmz
11,03/07/2000,10:11:08,00:00:00,unknown,ipv4-addr,202.77.162.213,653,ipv4-addr,172.16.114.30,32772,udp,unknown,0.1,1,tcpdump_dmz,tcpdump_dmz
12,03/07/2000,10:11:09,00:00:00,unknown,ipv4-addr,202.77.162.213,653,ipv4-addr,172.16.114.50,111,udp,unknown,0.1,1,tcpdump_dmz,tcpdump_dmz
13,03/07/2000,10:11:09,00:00:00,unknown,ipv4-addr,172.16.114.50,,ipv4-addr,202.77.162.213,,icmp-destination-unreachable,unknown,0.1,1,tcpdump_dmz,tcpdump_dmz
14,03/07/2000,10:11:09,00:00:55,unknown,ipv4-addr,202.77.162.213,654,ipv4-addr,172.16.113.1,111,udp,unknown,0.1,1,tcpdump_dmz,tcpdump_dmz
15,03/07/2000,10:12:09,00:00:00,unknown,ipv4-addr,202.77.162.213,655,ipv4-addr,172.16.113.50,111,udp,unknown,0.1,1,tcpdump_dmz,tcpdump_dmz
16,03/07/2000,10:12:09,00:00:55,unknown,ipv4-addr,202.77.162.213,656,ipv4-addr,172.16.113.105,111,udp,unknown,0.1,1,tcpdump_dmz,tcpdump_dmz
17,03/07/2000,10:13:09,00:00:55,unknown,ipv4-addr,202.77.162.213,657,ipv4-addr,172.16.113.148,111,udp,unknown,0.1,1,tcpdump_dmz,tcpdump_dmz
18,03/07/2000,10:14:09,00:00:55,unknown,ipv4-addr,202.77.162.213,658,ipv4-addr,172.16.112.1,111,udp,unknown,0.1,1,tcpdump_dmz,tcpdump_dmz
19,03/07/2000,10:15:10,00:00:00,unknown,ipv4-addr,202.77.162.213,659,ipv4-addr,172.16.112.10,111,udp,unknown,0.1,1,tcpdump_dmz,tcpdump_dmz
20,03/07/2000,10:15:10,00:00:00,unknown,ipv4-addr,202.77.162.213,660,ipv4-addr,172.16.112.10,56255,udp,unknown,0.1,1,tcpdump_dmz,tcpdump_dmz
21,03/07/2000,10:15:10,00:00:00,unknown,ipv4-addr,202.77.162.213,660,ipv4-addr,172.16.112.50,111,udp,unknown,0.1,1,tcpdump_dmz,tcpdump_dmz
22,03/07/2000,10:15:10,00:00:00,unknown,ipv4-addr,202.77.162.213,661,ipv4-addr,172.16.112.50,56261,udp,unknown,0.1,1,tcpdump_dmz,tcpdump_dmz
23,03/07/2000,10:15:10,00:00:55,unknown,ipv4-addr,202.77.162.213,661,ipv4-addr,172.16.112.100,111,udp,unknown,0.1,1,tcpdump_dmz,tcpdump_dmz
24,03/07/2000,10:16:10,00:00:55,unknown,ipv4-addr,202.77.162.213,662,ipv4-addr,172.16.112.105,111,udp,unknown,0.1,1,tcpdump_dmz,tcpdump_dmz
25,03/07/2000,10:17:10,00:00:55,unknown,ipv4-addr,202.77.162.213,663,ipv4-addr,172.16.112.194,111,udp,unknown,0.1,1,tcpdump_dmz,tcpdump_dmz
